image_path,image_label_path,up,down,left,right,width,height
images1/source/images/10_10.jpg,images1/source/labels/10_10_label.jpg,290,366,473,591,900,600
images1/source/images/10_11.jpg,images1/source/labels/10_11_label.jpg,296,359,475,588,900,600
images1/source/images/10_2.jpg,images1/source/labels/10_2_label.jpg,287,369,499,602,900,600
images1/source/images/10_3.jpg,images1/source/labels/10_3_label.jpg,284,383,494,605,900,600
images1/source/images/10_4.jpg,images1/source/labels/10_4_label.jpg,291,394,494,602,900,600
images1/source/images/10_5.jpg,images1/source/labels/10_5_label.jpg,289,389,488,597,900,600
images1/source/images/10_6.jpg,images1/source/labels/10_6_label.jpg,292,391,484,599,900,600
images1/source/images/10_7.jpg,images1/source/labels/10_7_label.jpg,292,376,479,611,900,600
images1/source/images/10_8.jpg,images1/source/labels/10_8_label.jpg,291,370,490,603,900,600
images1/source/images/10_9.jpg,images1/source/labels/10_9_label.jpg,296,363,483,589,900,600
images1/source/images/11_16.jpg,images1/source/labels/11_16_label.jpg,149,254,404,625,900,600
images1/source/images/11_17.jpg,images1/source/labels/11_17_label.jpg,146,254,407,626,900,600
images1/source/images/11_18.jpg,images1/source/labels/11_18_label.jpg,143,254,410,630,900,600
images1/source/images/11_19.jpg,images1/source/labels/11_19_label.jpg,136,262,415,635,900,600
images1/source/images/11_20.jpg,images1/source/labels/11_20_label.jpg,124,266,406,638,900,600
images1/source/images/11_21.jpg,images1/source/labels/11_21_label.jpg,136,260,409,628,900,600
images1/source/images/11_22.jpg,images1/source/labels/11_22_label.jpg,132,257,411,626,900,600
images1/source/images/11_23.jpg,images1/source/labels/11_23_label.jpg,131,250,406,619,900,600
images1/source/images/11_24.jpg,images1/source/labels/11_24_label.jpg,126,250,401,614,900,600
images1/source/images/11_25.jpg,images1/source/labels/11_25_label.jpg,131,250,398,614,900,600
images1/source/images/11_26.jpg,images1/source/labels/11_26_label.jpg,134,252,395,615,900,600
images1/source/images/11_27.jpg,images1/source/labels/11_27_label.jpg,134,251,395,612,900,600
images1/source/images/11_28.jpg,images1/source/labels/11_28_label.jpg,134,250,395,610,900,600
images1/source/images/11_29.jpg,images1/source/labels/11_29_label.jpg,133,258,388,614,900,600
images1/source/images/11_30.jpg,images1/source/labels/11_30_label.jpg,130,266,381,618,900,600
images1/source/images/11_31.jpg,images1/source/labels/11_31_label.jpg,134,267,391,610,900,600
images1/source/images/11_32.jpg,images1/source/labels/11_32_label.jpg,134,268,401,602,900,600
